\\NASSY\Music\Bon Jovi - Greatest Hits - The Ultimate Collection [MP3-320][MJN]\CD1\02 - You Give Love a Bad Name.mp3	5
\\NASSY\Music\More Classic Rock Music 2 - Compilation Mix - Playlist\Bad Company - Shooting Star.mp3	10
\\NASSY\Music\Classic Rock Music - Compilation Mix - Playlist\Kansas - Carry On Wayward Son.mp3	5
\\NASSY\Music\AFI - DISCOGRAPHY (1993-13) [CHANNEL NEO]\[2007]  I Heard A Voice (Live from Long Beach Arena)\02 - Girl's Not Grey.mp3	-99
\\NASSY\Music\AFI - DISCOGRAPHY (1993-13) [CHANNEL NEO]\[2003] Radio Session (Live)\01 - Girl's Not Grey (Acoustic).mp3	-99
\\NASSY\Music\Punk Goes Pop 4 [CDRip][320kbps]\03 Last Friday Night (T.G.I.F.) - Woe, Is Me.mp3	3
\\NASSY\Music\Unorganized\Bush - Machinehead.mp3	99
\\NASSY\Music\Classic Rock Music - Compilation Mix - Playlist\Deep Purple - Smoke on the water.mp3	99
\\NASSY\Music\Deep Purple - 1994 - Smoke On The Water, The Best Of\10 - Smoke On The Water.mp3	-99
\\NASSY\Music\Best of Rock Collection (1980-1989) MP3\The Rolling Stones - Greatest Hits-Universal\CD 1\02. Paint It Black.mp3	99
\\NASSY\Music\The Rolling Stones - Greatest Hits-Universal\CD 1\02. Paint It Black.mp3	-99
\\NASSY\Music\Classic Rock Music - Compilation Mix - Playlist\The Rolling Stones - Paint It Black.mp3	-99
\\NASSY\Music\Modest Mouse Discography [2015] VØ CDRIP\2004 • Modest_Mouse-Good_News_For_People_Who_Love_Bad_News-2004-RTB\03-modest_mouse-float_on-rtb.mp3	10
\\NASSY\Music\Modest Mouse Discography [2015] VØ CDRIP\MM +\Modest_Mouse-Float_On-(AUS_CDM)-2004-RTB\01-modest_mouse-float_on_(single_edit).mp3	-99
\\NASSY\Music\QUEENS OF THE STONE AGE - DISCOGRAPHY (1997-13) [CHANNEL NEO]\[2005] Over The Years And Through The Woods (Live)\01 - Go With The Flow.mp3	-99
\\NASSY\Music\QUEENS OF THE STONE AGE - DISCOGRAPHY (1997-13) [CHANNEL NEO]\[2002] Songs For The Deaf\08 - Go With The Flow.mp3	99
\\NASSY\Music\The All-American Rejects\2005 - Move Along\01 - Dirty Little Secret.mp3	50
\\NASSY\Music\The All-American Rejects\Singles\2006 - It Ends Tonight\02 - Dirty Little Secret (Live from the Wiltern).mp3	-999
\\NASSY\Music\Lenny Kravitz - Greatest Hits\Lenny Kravitz - 08 - American Woman.mp3	99
\\NASSY\Music\The Killers Discography\The Killers - Live From The Royal Albert Hall\23-when_you_were_young.mp3	-99
\\NASSY\Music\The Killers Discography\[2006] Sam's Town (Bonus Track Version)\03 - When You Were Young.mp3	50
\\NASSY\Music\Best of Rock Collection (1980-1989) MP3\Disc 6\08. Megadeth - Peace Sells (1986).mp3	5
\\NASSY\Music\JIMMY EAT WORLD - DISCOGRAPHY [CHANNEL NEO]\[2003] The Middle - A Praise Chorus Tour [EP]\01 - The Middle.mp3	-99
\\NASSY\Music\JIMMY EAT WORLD - DISCOGRAPHY [CHANNEL NEO]\[2002] Good To Go [EP]\01 - The Middle (Acoustic).mp3	-99
